school,Sex,RACE,ACT,batball,3flips,widgets,trucks,lilypads,water,giftwrap,Jerry,IQ,3.4K v 3.8K(2),Prestige
Toledo,Male,White,23.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,low
Toledo,Male,White,24.0,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0,low
Toledo,Male,White,31.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,6.0,0.0,low
Toledo,Female,White,18.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
Toledo,Female,White,24.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,low
Toledo,Female,Black,19.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,low
Toledo,Male,White,27.0,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0,low
Toledo,Male,Black,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
Toledo,Female,White,27.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,low
Toledo,Male,White,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,low
Toledo,Male,White,29.0,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,low
Toledo,Male,White,19.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,low
Toledo,Male,Black,21.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,low
Toledo,Male,Asian,27.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,low
Toledo,Male,White,26.0,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,low
Toledo,Female,White,27.0,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0,low
Toledo,Female,White,19.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,low
Toledo,Male,White,25.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,low
Toledo,Female,White,21.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,low
Toledo,Male,White,21.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,low
Toledo,Male,Latino,18.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,low
Toledo,Male,White,24.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,low
Toledo,Male,White,20.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,low
Toledo,Female,White,25.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,low
Toledo,Male,White,23.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,low
Toledo,Female,White,23.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,low
Toledo,Male,White,26.0,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,low
Toledo,Male,White,22.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,low
Toledo,Male,White,29.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,low
Toledo,Male,Black,17.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,low
Toledo,Female,White,30.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,low
Toledo,Male,White,23.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,low
Toledo,Female,White,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
Toledo,Male,White,31.0,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,low
Toledo,Male,White,25.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
Toledo,Male,White,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,low
Toledo,Female,White,23.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,low
Toledo,Female,White,22.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,low
Toledo,Male,White,27.0,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0,low
Toledo,Male,White,25.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
Toledo,Male,White,21.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,low
Toledo,Male,White,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
Toledo,Female,White,24.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,low
Toledo,Male,White,24.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,low
Toledo,Male,White,23.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,low
Toledo,Female,Black,26.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,low
Toledo,Female,White,19.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,low
Toledo,Male,White,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,low
UM (dearborn),Male,White,28.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,low
UM (dearborn),Female,Asian,28.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,low
UM (dearborn),Male,Latino,27.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,low
UM (dearborn),Female,White,25.0,1,0.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,0.0,low
UM (dearborn),Female,Asian,22.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,low
UM (dearborn),Male,Asian,22.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,low
UM (dearborn),Male,White,25.0,1,0.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0,low
UM (dearborn),Male,White,31.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,low
UM (dearborn),Female,Other,25.0,0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,low
UM (dearborn),Female,White,25.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,low
UM (dearborn),Female,Other,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
UM (dearborn),Male,White,20.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,low
UM (dearborn),Female,Asian,27.0,0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,low
UM (dearborn),Female,White,26.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,low
UM (dearborn),Male,Black,22.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,low
UM (dearborn),Female,White,25.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,low
UM (dearborn),Male,Asian,28.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,0.0,low
UM (dearborn),Male,White,22.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,low
UM (dearborn),Male,White,26.0,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0,low
UM (dearborn),Male,White,28.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,low
UM (dearborn),Male,White,24.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,low
UM (dearborn),Male,Latino,19.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,low
UM (dearborn),Female,Asian,25.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,low
UM (dearborn),Male,White,29.0,0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,0.0,low
UM (dearborn),Female,White,27.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,low
UM (dearborn),Female,Other,24.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,low
UM (dearborn),Female,Black,26.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,low
UM (dearborn),Male,White,22.0,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0,low
UM (dearborn),Male,Asian,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,low
UM (dearborn),Female,White,24.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,low
UM (dearborn),Female,Asian,20.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,low
UM (dearborn),Female,Asian,25.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,low
UM (dearborn),Male,White,27.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
UM (dearborn),Female,Other,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
UM (dearborn),Female,White,27.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,low
UM (dearborn),Male,White,31.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,low
UM (dearborn),Female,White,29.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,low
UM (dearborn),Female,White,21.0,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,low
Michigan,Female,Asian,34.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,middle
Michigan,Female,White,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,middle
Michigan,Female,White,24.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,middle
